Country Name,Region,Happiness Score,Upper Bound of Happiness Score,Lower Bound of Happiness Score,Log GDP per Capita,Social Support Score,Healthy Life Expectancy,Freedom to Choose Score,Generosity Score,Perception of Corruption,Dystopia Residual Benchmark,Environmental Health (New),Biodiversity & Habitat (New),Forest Cover Loss (New),Rule of Law Index,Health & Pollution Exposure,Green Technology Progress,Social Stability Index,Environment-Health Composite Score,Happiness Range,Health & Environment Composite,Happiness to Corruption Ratio,Regional Insights,Unnamed: 24,Unnamed: 25
Madagascar,Sub-Saharan Africa,4.228,4.359,4.097,0.628,0.823,0.333,0.25,0.172,0.123,1.897,28,26.4,11.3,14.9,49.6,44.7,0.415,14.1665,0.262,28.333,34.37398374,Low Happiness in Sub-Saharan Africa,,
Togo,Sub-Saharan Africa,4.214,4.33,4.098,0.758,0.586,0.32,0.453,0.127,0.156,1.814,47.1,54.8,25.2,57.7,41.6,32.1,0.388666667,23.71,0.232,47.42,27.01282051,Low Happiness in Sub-Saharan Africa,,
Jordan,Middle East and North Africa,4.186,4.306,4.066,1.262,0.983,0.594,0.593,0.059,0.189,0.504,49.3,32.8,,87.4,20.4,47.1,0.545,24.947,0.24,49.894,22.14814815,Low Happiness in Middle East and North Africa,,
India,South Asia,4.054,4.123,3.985,1.166,0.653,0.417,0.767,0.174,0.122,0.756,30.4,11.2,63.6,0,0,34.9,0.531333333,15.4085,0.138,30.817,33.2295082,High Happiness in South Asia,,
Egypt,Middle East and North Africa,3.977,4.066,3.887,1.37,0.996,0.488,0.49,0.025,0.259,0.349,51.5,47.5,,68.7,10.3,40.9,0.503666667,25.994,0.179,51.988,15.35521236,Low Happiness in Middle East and North Africa,,
Sri Lanka,South Asia,3.898,4.018,3.778,1.361,1.179,0.586,0.583,0.144,0.031,0.014,39.7,32.9,65.4,0,12.3,44.8,0.635333333,20.143,0.24,40.286,125.7419355,High Happiness in South Asia,,
Bangladesh,South Asia,3.886,3.994,3.778,1.122,0.249,0.513,0.775,0.14,0.167,0.919,31.9,29.1,31.2,13.2,0,35.5,0.388,16.2065,0.216,32.413,23.26946108,Low Happiness in South Asia,,
Ethiopia,Sub-Saharan Africa,3.861,3.997,3.725,0.792,0.915,0.42,0.441,0.27,0.101,0.923,47,45.8,71.3,50,33,34,0.542,23.71,0.272,47.42,38.22772277,Low Happiness in Sub-Saharan Africa,,
Tanzania,Sub-Saharan Africa,3.781,3.917,3.644,0.82,0.706,0.38,0.709,0.191,0.257,0.717,60.7,65.3,40,0,26.1,38.1,0.535333333,30.54,0.273,61.08,14.71206226,Low Happiness in Sub-Saharan Africa,,
Comoros,Sub-Saharan Africa,3.566,3.754,3.378,0.896,0.328,0.37,0.172,0.128,0.16,1.512,45.1,49,72.1,10.2,70.9,26.9,0.209333333,22.735,0.376,45.47,22.2875,Low Happiness in Sub-Saharan Africa,,
Zambia,Sub-Saharan Africa,3.502,3.636,3.368,0.899,0.809,0.264,0.727,0.168,0.109,0.526,67,83.7,37.5,59.6,12.7,43.4,0.568,33.632,0.268,67.264,32.12844037,Low Happiness in Sub-Saharan Africa,,
Eswatini,Sub-Saharan Africa,3.502,3.673,3.331,1.255,0.925,0.176,0.284,0.059,0.116,0.686,39.1,29.8,49.1,39.6,24.5,49.6,0.422666667,19.638,0.342,39.276,30.18965517,Low Happiness in Sub-Saharan Africa,,
Malawi,Sub-Saharan Africa,3.421,3.561,3.281,0.617,0.41,0.349,0.571,0.135,0.136,1.203,54.5,68.1,26.4,37.6,21.4,17.7,0.372,27.4245,0.28,54.849,25.15441176,Low Happiness in Sub-Saharan Africa,,
Botswana,Sub-Saharan Africa,3.383,3.558,3.209,1.445,0.969,0.241,0.567,0.014,0.082,0.066,74.9,85.6,,92.2,38.9,18.7,0.516666667,37.5705,0.349,75.141,41.25609756,Low Happiness in Sub-Saharan Africa,,
Zimbabwe,Sub-Saharan Africa,3.341,3.457,3.226,0.748,0.85,0.232,0.487,0.096,0.131,0.797,66.3,70.2,45.1,32.7,26.8,59,0.477666667,33.266,0.231,66.532,25.50381679,Low Happiness in Sub-Saharan Africa,,
Sierra Leone,Sub-Saharan Africa,3.245,3.366,3.124,0.654,0.566,0.253,0.469,0.181,0.053,1.068,39.4,45.3,0,79.1,70.3,46.8,0.405333333,19.8265,0.242,39.653,61.22641509,Low Happiness in Sub-Saharan Africa,,
Lesotho,Sub-Saharan Africa,3.186,3.469,2.904,0.771,0.851,0,0.523,0.082,0.085,0.875,46.9,59.1,64.8,80.9,6.1,49.3,0.485333333,23.45,0.565,46.9,37.48235294,Low Happiness in Sub-Saharan Africa,,
Lebanon,Middle East and North Africa,2.707,2.797,2.616,1.377,0.577,0.556,0.173,0.068,0.029,-0.073,37.5,23.6,45.7,87.6,27.4,37.7,0.272666667,19.028,0.181,38.056,93.34482759,Low Happiness in Middle East and North Africa,,
Afghanistan,South Asia,1.721,1.775,1.667,0.628,0,0.242,0,0.091,0.088,0.672,31.9,31.7,,75.6,18.8,46.7,0.030333333,16.071,0.108,32.142,19.55681818,Low Happiness in South Asia,,
